Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
7,30.075,13.362,8.079,13.300,8.701,28.899,19.000,22.083,24.921,255,255
8,60.779,75.510,87.318,22.800,32.628,86.386,35.150,44.635,49.276,255,255
8,50.721,64.945,101.923,43.700,32.628,86.386,35.150,36.863,42.683,255,255
8,26.198,11.497,79.860,39.900,30.453,86.697,37.050,20.351,22.495,255,255
8,3.600,32.628,86.386,35.150,30.453,86.697,37.050,2.905,2.446,255,255
8,0.439,30.453,86.697,37.050,30.453,86.697,37.050,0.000,0.000,0,0
9,19.823,179.608,30.763,41.800,196.077,30.142,38.950,16.726,17.412,255,255
9,1.357,196.077,30.142,38.950,196.077,30.142,38.950,0.000,0.311,255,255
10,39.880,162.206,31.696,59.850,135.172,41.018,64.600,28.988,34.602,255,255
10,38.252,98.194,91.668,76.950,112.177,69.606,67.450,27.795,30.607,255,255
10,29.741,100.991,78.617,63.650,112.177,69.606,67.450,14.859,16.959,255,255
10,21.271,112.177,69.606,67.450,123.675,60.284,67.450,14.802,15.972,255,255
10,13.912,128.957,50.961,66.500,124.918,58.419,67.450,8.535,10.008,255,255
10,12.283,128.957,50.961,66.500,124.918,58.419,67.450,8.535,10.031,255,255
10,11.298,135.172,41.018,64.600,132.686,45.057,65.550,4.837,7.956,255,255
10,8.056,132.686,45.057,65.550,128.957,50.961,66.500,7.047,6.732,255,255
10,7.331,135.172,41.018,64.600,132.686,45.057,65.550,4.837,4.219,255,255
10,2.561,123.675,60.284,67.450,124.918,58.419,67.450,2.241,1.644,255,255
10,2.357,123.675,60.284,67.450,123.675,60.284,67.450,0.000,1.310,255,255
11,52.585,77.996,59.351,63.650,42.571,69.917,66.500,37.076,44.654,255,255
12,37.424,45.368,116.838,65.550,41.328,85.143,67.450,32.008,33.399,255,255
13,0.750,51.583,97.572,81.700,51.583,97.572,81.700,0.000,0.466,255,255
